Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_2_R4,15.0082,1215.94
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_2_R5,14.5692,910.188
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_5_R1,14.2588,1172.45
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_1_R5,14.0643,888.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_4_R3,13.9718,1725.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_1_R4,13.8995,1155.52
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_2_R3,13.0325,786.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_5_R2,12.9552,1200.9
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_4_R1,12.795,1064.07
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_1_R6,12.6294,1307.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_6_R3,12.5932,966.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_3_R3,12.5222,715.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_3_R4,12.4453,840.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_4_R3,12.3519,1357.46
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_4_R4,11.2812,908.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_4_R3,10.9805,891.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_3_R6,10.9311,1200.59
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_3_R5,10.3624,792.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_3_R4,10.0039,616.381
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_4_R2,9.99109,912.389
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_1_R3,9.90844,686.884
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_2_R2,9.56455,564.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_3_R3,9.54765,476.897
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_3_R1,9.33239,813.86
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_3_R6,9.29783,676.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_6_R5,9.2701,685.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_4_R4,9.18915,1128.4
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_4_R5,9.06964,883.618
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_2_R1,8.90866,629.7
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_4_R1,8.88126,817.21
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_3_R2,8.79552,990.201
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_2_R5,8.72699,623.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_6_R4,8.51341,1089.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_2_R4,8.48187,790.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_2_R6,8.45796,555.665
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_4_R3,8.18987,627.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_5_R2,8.10491,812.906
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_4_R5,7.83691,511.792
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_5_R1,7.62663,666.0
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_3_R5,7.59485,360.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_3_R5,7.57412,545.016
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_1_R3,7.51991,565.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_4_R6,7.31801,297.593
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_3_R3,7.31609,383.906
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_3_R5,7.19658,379.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_6_R3,7.12129,463.443
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_1_R2,7.07826,424.96
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_4_R4,7.07501,627.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_5_R3,6.95807,324.0
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_6_R4,6.79911,535.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_1_R4,6.74056,620.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_4_R6,6.67506,322.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_4_R5,6.66308,468.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_2_R2,6.28097,353.292
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_3_R5,6.21329,280.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_6_R3,6.2004,443.853
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_6_R4,6.09741,527.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_6_R4,6.08619,699.799
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_2_R6,6.06029,445.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_6_R5,6.0193,411.644
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_3_R6,6.01341,476.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_3_R6,6.01076,404.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_6_R5,6.00243,384.316
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_5_R1,5.96921,382.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_2_R1,5.89971,476.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_1_R1,5.75458,406.277
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_2_R3,5.73506,323.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_1_R5,5.67871,330.695
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_6_R4,5.47444,675.483
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_5_R4,5.32168,246.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_2_R5,5.29443,353.58
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_1_R1,5.21662,398.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_5_R2,5.12053,317.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_1_R5,4.96136,202.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_4_R4,4.88363,365.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_5_R2,4.79306,351.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_3_R5,4.67577,395.145
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_1_R2,4.67505,310.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_3_R4,4.67436,297.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_5_R5,4.58992,156.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_2_R4,4.57436,397.765
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_5_R3,4.48372,183.47
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_1_R6,4.47927,292.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_4_R2,4.40394,438.318
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_4_R2,4.37941,243.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_3_R4,4.22556,174.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_3_R4,4.20097,201.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_3_R1,4.18913,271.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_4_R4,4.17036,556.873
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_4_R3,4.14713,475.172
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_5_R2,4.12117,270.478
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_6_R5,4.05938,184.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_6_R6,3.77478,150.0
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_5_R6,3.61221,169.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_5_R1,3.59114,228.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_4_R2,3.57423,235.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_1_R4,3.55861,214.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_4_R4,3.52368,310.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_5_R6,3.51336,138.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_4_R2,3.51295,230.0
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_1_R3,3.51146,173.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_3_R6,3.48469,411.01
Ec_actinula_t.82119..145-2376,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.82119,145-2376,STG_6_R2,3.47989,192.0
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_6_R4,3.46189,451.579
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_5_R3,3.44089,150.083
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_3_R1,3.41004,181.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_5_R6,3.38478,148.0
Ec_actinula_t.54786..2201-735,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.54786,2201-735,STG_3_R1,3.38231,209.0
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_4_R5,3.33088,246.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_2_R6,3.30947,228.697
Ec_actinula_t.53593..2566-1043,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53593,2566-1043,STG_4_R5,3.26788,361.29
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_6_R5,3.21421,167.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_6_R2,3.16689,168.953
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_1_R6,3.15587,286.94
Ec_actinula_t.69548..1-1686,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.69548,1-1686,STG_2_R3,3.14331,121.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_4_R6,3.12049,135.945
Ec_actinula_t.56333..104-1537,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.56333,104-1537,STG_5_R3,3.01678,87.0
Ec_actinula_t.53426..2044-557,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.53426,2044-557,STG_6_R2,2.99795,152.609
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_6_R3,2.98849,153.0
Ec_actinula_t.94078..2771-978,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.94078,2771-978,STG_1_R4,2.96737,255.027
Ec_actinula_t.84530..112-1935,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84530,112-1935,STG_4_R3,2.82702,245.0
Ec_actinula_t.84567..130-1716,SCNN1D;SCNN1B;SCNN1G;ASIC1;ASIC2;ASIC3,OG0000009,Ec_actinula_t.84567,130-1716,STG_4_R5,2.82605,173.0
