Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_1_R2,0.63029,68.908
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_2_R5,0.621029,61.3393
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_5_R6,0.60871,40.5482
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_1_R1,0.578721,61.7153
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_5_R5,0.546417,25.9422
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_6_R5,0.527819,54.0655
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_3_R5,0.498786,63.9171
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_6_R1,0.483674,20.8671
Ec_actinula_t.66269..63-3458,OG0000887,TRPA1,Ec_actinula_t.66269,63-3458,STG_5_R5,0.422448,24.3119
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_1_R2,0.357309,32.8408
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_6_R2,0.356014,27.3915
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_6_R4,0.351106,62.5046
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_3_R5,0.192728,20.4687
Ec_actinula_t.84956..107-3508,OG0000887,TRPA1,Ec_actinula_t.84956,107-3508,STG_2_R1,0.17433,19.0972
