Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_1_R5,9.00135,702.644
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_2_R1,8.66845,852.555
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_3_R1,8.29135,823.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_3_R3,8.09061,475.0
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_1_R6,7.72522,961.35
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_5_R3,7.48739,368.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_3_R5,7.10001,562.0
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_6_R1,5.9676,219.603
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_1_R3,5.96354,554.865
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_4_R1,5.95008,603.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_2_R2,5.51061,341.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_6_R3,5.07967,399.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_6_R6,4.44982,187.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_4_R6,4.26437,211.0
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_3_R5,4.2596,380.224
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_1_R1,3.64972,290.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_3_R2,3.49223,438.0
Ec_actinula_t.81080..203-2761,OG0000899,PKD2L1,Ec_actinula_t.81080,203-2761,STG_1_R2,3.31013,274.31
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_2_R3,3.29921,208.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_2_R5,3.20344,236.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_6_R2,2.35581,137.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_2_R6,2.27605,174.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_5_R4,1.90649,93.0
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_1_R3,1.87255,162.958
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_5_R6,1.77325,89.0
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_5_R2,1.73483,64.33
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_2_R2,1.65583,36.4122
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_2_R4,1.58913,153.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_5_R5,1.5241,54.0
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_1_R3,1.2576,35.4108
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_2_R2,1.15634,81.2116
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_2_R6,1.1299,30.2433
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_3_R5,1.11825,22.0
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_4_R2,1.09998,36.9773
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_4_R1,1.03428,34.5619
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_1_R4,0.948799,90.0
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_1_R2,0.92642,71.2041
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_3_R5,0.899683,26.8329
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_2_R1,0.876978,71.0
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_2_R5,0.849723,21.5273
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_6_R3,0.843628,73.5652
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_3_R2,0.841246,36.1885
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_4_R3,0.839507,23.0
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_4_R3,0.835497,120.743
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_3_R1,0.822092,23.8185
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_1_R5,0.777808,15.9049
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_1_R6,0.77128,87.0918
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_2_R1,0.768218,69.8907
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_4_R6,0.72821,39.8004
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_3_R5,0.723386,42.7757
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_2_R4,0.712254,23.2958
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_1_R4,0.708129,23.6135
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_2_R3,0.705402,15.4592
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_5_R5,0.704414,27.0
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_1_R2,0.683915,16.5402
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_3_R6,0.675847,15.8326
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_4_R3,0.672855,31.2271
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_3_R3,0.663738,43.604
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_3_R6,0.652817,25.9007
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_1_R1,0.651091,58.3124
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_6_R1,0.649027,21.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_1_R2,0.645785,10.0
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_1_R6,0.635651,18.7957
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_4_R2,0.613249,68.383
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_1_R1,0.602099,11.0
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_4_R2,0.597497,17.8458
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_2_R3,0.596933,42.0
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_2_R4,0.577792,61.976
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_3_R4,0.572901,14.1275
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_5_R4,0.564912,30.9954
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_3_R4,0.556587,44.4856
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_6_R4,0.54622,23.9873
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_6_R1,0.54599,4.3917
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_1_R3,0.544792,42.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_5_R2,0.541797,12.0
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_4_R4,0.539736,24.1247
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_4_R5,0.535771,66.0646
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_6_R3,0.522965,8.0
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_1_R5,0.518132,11.3797
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_2_R2,0.515869,10.8465
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_1_R5,0.509917,7.0
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_1_R2,0.49643,11.5985
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_3_R2,0.490511,19.2041
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_3_R1,0.489522,53.2128
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_1_R1,0.481164,13.7072
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_5_R2,0.478476,15.8713
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_6_R2,0.475489,31.3679
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_2_R6,0.473043,40.2765
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_3_R6,0.47177,63.5607
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_1_R6,0.470584,15.6788
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_2_R1,0.46028,12.9096
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_3_R3,0.459916,9.15066
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_2_R5,0.450564,7.0
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_6_R2,0.446237,8.93795
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_5_R1,0.446002,48.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_6_R5,0.444239,7.0
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_5_R1,0.434604,14.191
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_2_R1,0.428293,11.4829
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_4_R3,0.424448,17.3055
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_2_R3,0.413304,8.39772
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_3_R2,0.408188,56.7441
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_1_R5,0.403948,29.2162
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_4_R1,0.403285,8.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_4_R2,0.398463,8.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_2_R1,0.397745,7.0
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_4_R1,0.385616,43.0202
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_6_R3,0.382566,8.73449
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_6_R4,0.381857,56.9147
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_1_R4,0.372369,39.9968
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_2_R3,0.371815,5.0
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_6_R1,0.367151,3.6083
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_2_R5,0.366244,30.0
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_1_R6,0.361589,37.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_2_R6,0.361336,6.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_4_R5,0.351382,8.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_6_R4,0.342497,9.33248
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_6_R5,0.341222,29.1898
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_3_R1,0.33465,11.2743
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_6_R6,0.324353,4.14575
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_2_R6,0.321219,8.07726
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_6_R1,0.318115,11.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_4_R4,0.302871,8.0
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_4_R4,0.294244,44.2218
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_4_R1,0.285011,8.31672
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_3_R3,0.269619,4.9645
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_1_R5,0.262854,17.0
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_1_R1,0.262566,7.35717
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_1_R3,0.258754,15.0416
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_6_R6,0.25288,2.0
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_2_R2,0.249288,11.7884
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_2_R4,0.247595,7.42346
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_5_R6,0.246749,3.37725
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_5_R3,0.240455,13.0
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_3_R6,0.238301,8.16792
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_2_R2,0.225935,3.0
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_4_R4,0.210739,8.24286
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_4_R6,0.203233,2.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_2_R4,0.201171,4.0
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_2_R5,0.200075,4.70202
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_1_R1,0.195148,11.6876
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_5_R4,0.194978,2.0
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_6_R3,0.191226,11.4348
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_6_R1,0.187162,1.0
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_1_R4,0.182923,5.89608
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_5_R1,0.16676,5.12604
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_5_R6,0.166755,9.0
Ec_actinula_t.50416..1024-557,OG0000899,PKD2L1,Ec_actinula_t.50416,1024-557,STG_4_R5,0.160177,5.30344
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_5_R5,0.15732,1.0
Ec_actinula_t.50415..1309-167,OG0000899,PKD2L1,Ec_actinula_t.50415,1309-167,STG_6_R5,0.156851,4.05434
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_4_R3,0.142884,14.2575
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_1_R5,0.136865,6.7838
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_4_R5,0.128577,10.9354
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_6_R2,0.121871,5.63213
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_4_R1,0.117869,8.9798
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_3_R2,0.115295,3.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_1_R3,0.109164,2.0
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_5_R2,0.107876,13.3168
Ec_actinula_t.82249..123-2579,OG0000899,PKD2L1,Ec_actinula_t.82249,123-2579,STG_1_R2,0.102646,7.0
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_3_R1,0.100492,2.0
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_2_R1,0.0999803,6.10928
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_5_R1,0.0996943,2.0
Ec_actinula_t.17768..3508-1277,OG0000899,PKD2L1,Ec_actinula_t.17768,3508-1277,STG_6_R6,0.0926062,4.28479
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_4_R2,0.087112,6.61696
Ec_actinula_t.37685..108-947,OG0000899,PKD2L1,Ec_actinula_t.37685,108-947,STG_3_R3,0.0803959,1.0
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_1_R6,0.0770894,5.90822
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_3_R2,0.076381,7.25592
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_2_R4,0.0688879,5.02398
Ec_actinula_t.27738..1-2184,OG0000899,PKD2L1,Ec_actinula_t.27738,1-2184,STG_5_R2,0.0670538,5.68322
